timeframe,lookback_fast,lookback_mid,lookback_slow,vol_window,volume_window,score_threshold,regime_threshold,top_n,target_vol_ann,gross_cap,max_asset_weight,volume_power,fee_rate,train_total_return,train_sharpe,train_max_drawdown,train_daily_target_hit_rate,train_monthly_shortfall,train_score
1h,12,48,120,72,24,0.6,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.26067740469475054,-1.9847187123895953,-0.41938570777149253,0.27956989247311825,0.7782612922431315,-69.08602434619227
1h,12,48,120,72,24,0.6,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.2706605439903863,-2.145608796926438,-0.40191762064476466,0.2903225806451613,0.782296322303265,-69.68714991383432
1h,12,48,120,72,24,0.6,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.27369075519178465,-2.0074150195391876,-0.4433732935778748,0.26881720430107525,0.7955672655278756,-72.51315904227063
1h,12,48,120,72,24,0.6,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.2821074721730319,-2.147587463410733,-0.4255139909446938,0.2903225806451613,0.7980071729011288,-72.6211474567826
1h,12,48,120,72,24,0.6,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.2747569159185208,-2.0190436032100525,-0.4441903746464163,0.26881720430107525,0.7969517540734702,-72.75781820013209
1h,12,48,120,72,24,0.6,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.28316127786896106,-2.1595536092784666,-0.42635728796354766,0.2903225806451613,0.7993478695776839,-72.86808126631414
1h,12,48,120,72,24,0.6,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.37849213348936495,-3.4399738608577026,-0.4726101736545574,0.24731182795698925,0.8960050656245161,-94.78281994758602
1h,12,48,120,72,24,0.35,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.39507506016923766,-3.291918209725663,-0.476003708862176,0.27956989247311825,0.9311637110999323,-95.55546630485962
1h,12,48,120,72,24,0.35,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.40220526790927114,-3.4048594184657444,-0.49526935088317425,0.27956989247311825,0.9521198148116877,-98.4623781024674
1h,12,48,120,72,24,0.6,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.406533732088149,-3.6144840535641047,-0.5039789654308723,0.25806451612903225,0.9383535728410942,-100.99660143502484
1h,12,48,120,72,24,0.6,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.4101048896204731,-3.6547305123537783,-0.5069637504971329,0.25806451612903225,0.9435865743488189,-101.84599490769533
1h,24,72,168,72,24,0.6,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.42552833409815594,-4.003731697373139,-0.46699617747371747,0.26881720430107525,0.98826349191898,-102.86998868374928
1h,12,48,120,72,24,0.35,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.42028786638885984,-3.3459345353684236,-0.5293120088643224,0.25806451612903225,0.9828957435731699,-102.89036816211993
1h,12,48,120,72,24,0.35,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.42999249027782416,-3.507480534956222,-0.5136754008813684,0.27956989247311825,0.9856131795581212,-103.41319745611062
1h,12,48,120,72,24,0.6,0.1,2,0.8,2.0,1.0,0.5,0.0004,-0.43291877875035323,-2.597912996760454,-0.5936618135704799,0.27956989247311825,1.0020650217398155,-103.97908469988027
1h,12,48,120,72,24,0.35,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.43342284168429546,-3.5444740010788824,-0.5166021417472937,0.27956989247311825,0.990776854662546,-104.22437465494387
1h,12,48,120,72,24,0.35,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.43025256137573864,-3.5351410215501056,-0.5305615047727248,0.27956989247311825,0.9960342125779412,-104.87056302201887
1h,24,72,168,72,24,0.6,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.4344944462038125,-4.256004243177593,-0.4655180917888022,0.2903225806451613,1.0053784404528034,-104.9696027379628
1h,12,48,120,72,24,0.35,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.43281473415282734,-3.5619814430427614,-0.5326725849662455,0.27956989247311825,0.9998556615768233,-105.4661700342212
1h,12,48,120,72,24,0.6,0.25,2,0.8,2.0,1.0,0.5,0.0004,-0.44846201498087,-2.7865521720770934,-0.5833479719781511,0.27956989247311825,1.01515467760753,-106.04799171031048
1h,24,72,168,72,24,0.35,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.4467952509743802,-4.073103413366622,-0.4939516081780515,0.27956989247311825,1.0200219745422567,-107.38181566686953
1h,12,48,120,72,24,0.6,0.1,1,0.8,2.0,1.0,0.0,0.0004,-0.439594766671901,-4.115426545604503,-0.5360574374879381,0.25806451612903225,0.9936848133462501,-109.99650281367828
1h,12,48,120,72,24,0.35,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.4545145834655109,-3.534753816148276,-0.5677922035664736,0.27956989247311825,1.037531547386561,-110.2325695926165
1h,24,72,168,72,24,0.6,0.25,1,0.8,2.0,1.0,0.0,0.0004,-0.4534218212445469,-4.438513533339186,-0.49277922971773036,0.27956989247311825,1.0427467869008917,-110.33666542036818
1h,24,72,168,72,24,0.35,0.1,1,0.8,2.0,1.0,0.5,0.0004,-0.467629009982937,-4.076262211072211,-0.5111525370628865,0.3010752688172043,1.0551939499629968,-110.62549915775772
1h,24,72,168,72,24,0.35,0.25,1,0.8,2.0,1.0,0.5,0.0004,-0.46224752867591323,-4.302541862398967,-0.4935824820636645,0.26881720430107525,1.0452628319211983,-110.65180517299403
1h,12,48,120,72,24,0.35,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.4609044987307753,-3.5975604556931233,-0.5728551642112194,0.27956989247311825,1.0474189597512673,-111.68190750046188
1h,24,72,168,72,24,0.6,0.1,1,0.8,2.0,1.0,0.0,0.0004,-0.4622877765180392,-4.422460869660084,-0.5075551256997998,0.27956989247311825,1.0510796083660692,-112.22792025610909
1h,24,72,168,72,24,0.6,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.47028906418089866,-4.340226226401,-0.5158602339102996,0.26881720430107525,1.056767885634334,-113.33354796647431
1h,24,72,168,72,24,0.35,0.1,1,0.8,2.0,1.0,0.0,0.0004,-0.47830068776392776,-4.139436368752146,-0.530929955673171,0.27956989247311825,1.0674684399086827,-113.89841312572719
1h,24,72,168,72,24,0.6,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.4734660534913432,-4.376121863306622,-0.5187639060031736,0.26881720430107525,1.061324385953471,-114.10632976800677
1h,12,48,120,72,24,0.35,0.1,1,0.8,2.0,1.0,0.0,0.0004,-0.47600856430215954,-3.9706385855461974,-0.568196009974655,0.3010752688172043,1.0628313926476691,-114.8838554818251
1h,12,48,120,72,24,0.6,0.1,2,1.2,2.0,1.0,0.5,0.0004,-0.49190641672947855,-2.7880995407656077,-0.6411847823382517,0.25806451612903225,1.0941792852954673,-115.42657570551836
1h,24,72,168,72,24,0.6,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.4798462637186306,-4.608505242373052,-0.5157184052852917,0.2903225806451613,1.0746735553380362,-115.6881733484535
1h,12,48,120,72,24,0.6,0.1,1,1.2,2.0,1.0,0.0,0.0004,-0.46746317088555034,-4.291369633008589,-0.5657592064667997,0.26881720430107525,1.0391817513705597,-116.11005808142983
1h,24,72,168,72,24,0.6,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.4829659328593082,-4.644741538127893,-0.5186229280081899,0.2903225806451613,1.079055649645833,-116.45593138211557
1h,24,72,168,72,24,0.35,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.48514447033100094,-4.340184808321072,-0.5401324177056626,0.27956989247311825,1.0826915357629012,-116.55323912895622
1h,12,48,120,72,24,0.6,0.1,1,1.6,2.0,1.0,0.0,0.0004,-0.47066768816203397,-4.329990418207329,-0.5683722316116426,0.26881720430107525,1.0443634723438548,-116.886600048196
1h,12,48,120,72,24,0.6,0.25,2,1.2,2.0,1.0,0.5,0.0004,-0.5048915172563815,-2.948956656459098,-0.6313763368765564,0.25806451612903225,1.1052683189267998,-117.09234953910158
1h,24,72,168,72,24,0.35,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.4911452733304854,-4.410923743157582,-0.5454923188976952,0.27956989247311825,1.0922994126381433,-118.02980913636796
1h,24,72,168,72,24,0.6,0.25,1,1.2,2.0,1.0,0.0,0.0004,-0.48705278929534845,-4.647329942139814,-0.5352079646472303,0.2903225806451613,1.0962999173635222,-118.17905415626545
1h,24,72,168,72,24,0.6,0.25,1,1.6,2.0,1.0,0.0,0.0004,-0.4882034793377874,-4.659643016289817,-0.536250628601189,0.2903225806451613,1.0981747132574737,-118.4559864493381
1h,12,48,120,72,24,0.6,0.25,2,0.8,2.0,1.0,0.0,0.0004,-0.507547158061641,-3.4897865071687577,-0.6144345070554861,0.27956989247311825,1.064342415929738,-118.74547139092869
1h,12,48,120,72,24,0.6,0.1,2,1.6,2.0,1.0,0.5,0.0004,-0.5093920979438253,-2.923266923904645,-0.6537248532583193,0.25806451612903225,1.1237604722067869,-119.10060258548253
1h,12,48,120,72,24,0.35,0.25,2,0.8,2.0,1.0,0.0,0.0004,-0.5281879620042153,-3.1504458455246422,-0.6174696472703346,0.2903225806451613,1.1018563980232297,-119.11403647635606
1h,24,72,168,72,24,0.35,0.1,1,1.2,2.0,1.0,0.5,0.0004,-0.5087545671964255,-4.350823424498571,-0.5556475121163955,0.3010752688172043,1.1214873714924551,-120.03041778564604
1h,24,72,168,72,24,0.35,0.25,1,1.2,2.0,1.0,0.5,0.0004,-0.5034252538060975,-4.590971195504891,-0.5393394292308564,0.26881720430107525,1.1100568202259131,-120.22149189278915
1h,24,72,168,72,24,0.6,0.1,1,1.2,2.0,1.0,0.0,0.0004,-0.4980178652845252,-4.654316490454549,-0.5511127829956077,0.2903225806451613,1.1095386029819565,-120.53672781440542
1h,24,72,168,72,24,0.6,0.1,2,0.8,2.0,1.0,0.5,0.0004,-0.5203738994731026,-3.509409139641479,-0.6066661373867372,0.24731182795698925,1.1256394242647616,-120.60860054903702
1h,24,72,168,72,24,0.35,0.1,1,1.6,2.0,1.0,0.5,0.0004,-0.5117999610083088,-4.375641100317265,-0.5584022009674912,0.3010752688172043,1.1263981133329737,-120.71597737604738
1h,12,48,120,72,24,0.6,0.25,2,1.6,2.0,1.0,0.5,0.0004,-0.5219303254224827,-3.083962411479585,-0.6442591987253549,0.25806451612903225,1.1351758260447096,-120.74732527219379
1h,24,72,168,72,24,0.6,0.1,1,1.6,2.0,1.0,0.0,0.0004,-0.4991439574668086,-4.666380172580717,-0.5521197678080892,0.2903225806451613,1.1114382506683247,-120.80740524375543
1h,24,72,168,72,24,0.35,0.25,1,1.6,2.0,1.0,0.5,0.0004,-0.5088147193858054,-4.6540371711663635,-0.5443391081495251,0.26881720430107525,1.1182189904209392,-121.5541091905958
1h,24,72,168,72,24,0.6,0.25,2,0.8,2.0,1.0,0.5,0.0004,-0.5273140884615921,-3.6428643283715334,-0.6051194763951844,0.26881720430107525,1.1453331242599525,-121.80854788931373
1h,12,48,120,72,24,0.35,0.1,1,1.2,2.0,1.0,0.0,0.0004,-0.5106825029911481,-4.174036896084642,-0.6028339252128102,0.3118279569892473,1.1219802707682769,-122.29744129483765
1h,24,72,168,72,24,0.35,0.1,1,1.2,2.0,1.0,0.0,0.0004,-0.517458722879735,-4.412224716709948,-0.5763636974510874,0.27956989247311825,1.1338020700783789,-123.16197769086645
1h,12,48,120,72,24,0.35,0.1,1,1.6,2.0,1.0,0.0,0.0004,-0.5171533368862318,-4.244093012300828,-0.6080861299968623,0.3118279569892473,1.1327232379203789,-123.81845945374359
1h,24,72,168,72,24,0.35,0.1,1,1.6,2.0,1.0,0.0,0.0004,-0.5230828931105167,-4.478492173094698,-0.5813013116914545,0.27956989247311825,1.1432811826223916,-124.54346534943092
1h,12,48,120,72,24,0.35,0.25,2,0.8,2.0,1.0,0.5,0.0004,-0.5596259051825017,-3.527383295493332,-0.6592477641779728,0.27956989247311825,1.164986562176475,-128.12100800151018
1h,12,48,120,72,24,0.6,0.25,2,1.2,2.0,1.0,0.0,0.0004,-0.5632935435363443,-3.629678609106113,-0.6639692973790026,0.27956989247311825,1.1632683513359918,-129.41830535591933
1h,12,48,120,72,24,0.6,0.1,2,0.8,2.0,1.0,0.0,0.0004,-0.5530674709089081,-3.953577652231983,-0.6586086550929076,0.27956989247311825,1.1504488259994488,-129.86129118921193
1h,24,72,168,72,24,0.35,0.1,2,0.8,2.0,1.0,0.0,0.0004,-0.5781442692457277,-3.509401171119494,-0.6609799131288698,0.2903225806451613,1.204077295905131,-130.1268849472291
1h,24,72,168,72,24,0.35,0.1,2,0.8,2.0,1.0,0.5,0.0004,-0.5872686014388111,-3.588970946513313,-0.6604203011133557,0.3010752688172043,1.2155917809624057,-131.3976368475199
1h,12,48,120,72,24,0.35,0.25,2,1.2,2.0,1.0,0.0,0.0004,-0.5940217822316747,-3.331154651498781,-0.6761917493910992,0.3118279569892473,1.2298516278399947,-131.5720943004291
1h,12,48,120,72,24,0.35,0.1,2,0.8,2.0,1.0,0.5,0.0004,-0.5782701477514129,-3.561614138443375,-0.6878927757006995,0.2903225806451613,1.2004638215921322,-132.30774318726498
1h,24,72,168,72,24,0.35,0.25,2,0.8,2.0,1.0,0.0,0.0004,-0.5807933033050217,-3.808517964176959,-0.6561075052511318,0.25806451612903225,1.209052972991466,-132.40135500901036
1h,24,72,168,72,24,0.35,0.25,2,0.8,2.0,1.0,0.5,0.0004,-0.5896452277709336,-3.8001458927619156,-0.6509279948493247,0.25806451612903225,1.2286768294083323,-133.03074015031973
1h,12,48,120,72,24,0.6,0.25,2,1.6,2.0,1.0,0.0,0.0004,-0.5814286818578639,-3.7959023115016106,-0.6779748401957852,0.27956989247311825,1.1995312472316226,-133.4996525667841
1h,12,48,120,72,24,0.35,0.1,2,0.8,2.0,1.0,0.0,0.0004,-0.5968693292956435,-3.7189707241445773,-0.6875177219824481,0.3118279569892473,1.233458007283117,-135.00541455964014
1h,24,72,168,72,24,0.6,0.1,2,1.2,2.0,1.0,0.5,0.0004,-0.5907657408553207,-3.8266266163209477,-0.6715231405096103,0.24731182795698925,1.2480827827264491,-135.07062663363024
1h,12,48,120,72,24,0.35,0.25,2,1.6,2.0,1.0,0.0,0.0004,-0.6151736892506445,-3.5088354160744797,-0.6931112796226667,0.3010752688172043,1.2749843640009668,-136.47084160603046
1h,24,72,168,72,24,0.6,0.25,2,1.2,2.0,1.0,0.5,0.0004,-0.5977042422562759,-3.961300151599636,-0.671062962718664,0.25806451612903225,1.2688058420234167,-136.53404700365473
1h,12,48,120,72,24,0.35,0.25,2,1.2,2.0,1.0,0.5,0.0004,-0.6075808252343375,-3.55328332348776,-0.7008912313360343,0.2903225806451613,1.2591362957968948,-136.5680977339353
1h,24,72,168,72,24,0.6,0.25,2,0.8,2.0,1.0,0.0,0.0004,-0.5939636287546919,-4.427567834669131,-0.6632850526411957,0.23655913978494625,1.2637995468298162,-138.71717370644706
1h,12,48,120,72,24,0.6,0.1,2,1.2,2.0,1.0,0.0,0.0004,-0.6054771959622316,-4.068481235675102,-0.7038317568309846,0.2903225806451613,1.248499994962398,-139.56966865781928
1h,24,72,168,72,24,0.6,0.1,2,1.6,2.0,1.0,0.5,0.0004,-0.6110298379261931,-4.001898145508896,-0.6884565531882956,0.24731182795698925,1.2885223583462553,-139.65752100831162
1h,12,48,120,72,24,0.35,0.25,2,1.6,2.0,1.0,0.5,0.0004,-0.6231402504829553,-3.6821189909804937,-0.7129098318542747,0.2903225806451613,1.2930274260172927,-140.00948534179346
1h,24,72,168,72,24,0.6,0.1,2,0.8,2.0,1.0,0.0,0.0004,-0.6005483060787937,-4.4436085090578334,-0.6730928111955585,0.23655913978494625,1.2680225788240918,-140.19221283994906
1h,24,72,168,72,24,0.6,0.25,2,1.6,2.0,1.0,0.5,0.0004,-0.6176247648028415,-4.136097064138718,-0.6880200981656792,0.25806451612903225,1.3081683309990135,-141.07678012664158
1h,12,48,120,72,24,0.35,0.1,2,1.2,2.0,1.0,0.5,0.0004,-0.6326412392375709,-3.6715242375632866,-0.7321930439923412,0.3118279569892473,1.313002496085211,-142.06155508545442
1h,12,48,120,72,24,0.6,0.1,2,1.6,2.0,1.0,0.0,0.0004,-0.6218605709188467,-4.229569286165259,-0.7161758580643576,0.2903225806451613,1.2834272710199577,-143.31803975121832
1h,12,48,120,72,24,0.35,0.1,2,1.6,2.0,1.0,0.5,0.0004,-0.6491933273902397,-3.816148602503575,-0.7444011256373253,0.3118279569892473,1.3501599993986972,-145.73633583201985
1h,24,72,168,72,24,0.35,0.1,2,1.2,2.0,1.0,0.5,0.0004,-0.658515048719283,-3.883194143408114,-0.7250080076959182,0.2903225806451613,1.354693980875707,-146.09362082777432
1h,24,72,168,72,24,0.35,0.25,2,1.2,2.0,1.0,0.5,0.0004,-0.6565491969848536,-4.047629111877098,-0.7140472112605343,0.25806451612903225,1.357529846196807,-146.6552056694953
1h,12,48,120,72,24,0.35,0.1,2,1.2,2.0,1.0,0.0,0.0004,-0.6576833292256283,-3.8771634062198395,-0.738966711413829,0.3010752688172043,1.3645007627859902,-146.85778496006256
1h,24,72,168,72,24,0.35,0.1,2,1.2,2.0,1.0,0.0,0.0004,-0.6617905932379253,-3.9636630481975015,-0.7347849267081034,0.2903225806451613,1.3718428743082458,-147.72556418668816
1h,24,72,168,72,24,0.35,0.25,2,1.2,2.0,1.0,0.0,0.0004,-0.6661325963817997,-4.286971734827146,-0.732748870916687,0.25806451612903225,1.3804775239064464,-150.542298944498
1h,24,72,168,72,24,0.35,0.1,2,1.6,2.0,1.0,0.5,0.0004,-0.679178269204386,-4.0598146812961176,-0.7422006656709796,0.2903225806451613,1.4039964715572915,-150.81757208731963
1h,24,72,168,72,24,0.35,0.1,2,1.6,2.0,1.0,0.0,0.0004,-0.6768867701856196,-4.097752036709332,-0.7477780760313322,0.2903225806451613,1.4073134804951555,-151.23300111464988
1h,12,48,120,72,24,0.35,0.1,2,1.6,2.0,1.0,0.0,0.0004,-0.6782109723297212,-4.073767107813556,-0.7546590356822982,0.3010752688172043,1.4126448977035015,-151.57378725816707
1h,24,72,168,72,24,0.35,0.25,2,1.6,2.0,1.0,0.5,0.0004,-0.6797148707433773,-4.260181611131631,-0.7339053691577091,0.25806451612903225,1.4104148286157416,-152.06023895302857
1h,24,72,168,72,24,0.35,0.25,2,1.6,2.0,1.0,0.0,0.0004,-0.6815178000679316,-4.4297013119795485,-0.746226501686976,0.25806451612903225,1.4173448361317014,-154.17556942774786
1h,24,72,168,72,24,0.6,0.25,2,1.2,2.0,1.0,0.0,0.0004,-0.670366673661966,-4.855231421603187,-0.7332431951785674,0.22580645161290322,1.4140106433361266,-155.194261479198
1h,24,72,168,72,24,0.6,0.1,2,1.2,2.0,1.0,0.0,0.0004,-0.6774116257455414,-4.887772776102842,-0.7423703452955144,0.21505376344086022,1.4222663756000389,-156.97099419160375
1h,24,72,168,72,24,0.6,0.25,2,1.6,2.0,1.0,0.0,0.0004,-0.6782775425847121,-4.921310964862166,-0.740832019656002,0.22580645161290322,1.4312308182667381,-157.0508047438918
1h,24,72,168,72,24,0.6,0.1,2,1.6,2.0,1.0,0.0,0.0004,-0.6851534228905047,-4.953290895187714,-0.7496995162647166,0.21505376344086022,1.4395148133971227,-158.78931209083012
